Brand Name,Series,Item model number,Operating System,Item Weight,Product Dimensions,Item Dimensions  L x W x H,Color,Processor Brand,Processor Count,Computer Memory Type,Hard Drive Rotational Speed,Optical Drive Type,Power Source,Batteries,Screen Size,Max Screen Resolution,Graphics Coprocessor,Chipset Brand,Card Description,Wireless Type,Number of USB 2.0 Ports,Number of USB 3.0 Ports,laptop_link,Hardware Platform,Flash Memory Size,Screen Resolution,Graphics Card Ram Size,Memory Speed,Average Battery Life (in hours),Package Dimensions,Rear Webcam Resolution,Voltage,Manufacturer,ASIN,Date First Available,National Stock Number
ASUS,VivoBook 15,F512JA-AS34,Windows 10 S,3.75 pounds,14.1 x 9.1 x 0.8 inches,14.1 x 9.1 x 0.8 inches,,Intel,2,DDR4 SDRAM,,No Optical Drive,,1 Lithium ion batteries required. (included),15.6 inches,1920 x 1080 pixels,Intel UHD Graphics,Intel,Integrated,802.11ac,2,2,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A02222762Y2WKMJRLRBZK&url=%2FASUS-VivoBook-i3-1005G1-Fingerprint-F512JA-AS34%2Fdp%2FB0869L1326%2Fref%3Dsr_1_33_sspa%3Fdchild%3D1%26keywords%3Dlaptops%26qid%3D1592921602%26sr%3D8-33-spons%26psc%3D1&qualifier=1592921602&id=3110825685686809&widgetName=sp_atf_next,PC,128,1920 x 1080 pixels,8 GB,,,,,,,,,
Lenovo,"ChromeBook Flex 5 13""",82B80006UX,Chrome OS,2.97 pounds,12.2 x 8.43 x 0.67 inches,12.2 x 8.43 x 0.67 inches,Graphite Grey,Intel,1,DDR4 SDRAM,7200 RPM,None,Battery Powered,1 Lithium Polymer batteries required. (included),13.3 inches,1920 x 1080 pixels,Intel Integrated Graphics,Intel,Integrated,802.11ax,,1,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_2?ie=UTF8&adId=A0222120CE6KVIPXXDFK&url=%2FLenovo-Chromebook-i3-10110U-Integrated-82B80006UX%2Fdp%2FB086383HC7%2Fref%3Dsr_1_34_sspa%3Fdchild%3D1%26keywords%3Dlaptops%26qid%3D1592921602%26sr%3D8-34-spons%26psc%3D1&qualifier=1592921602&id=3110825685686809&widgetName=sp_atf_next,Chrome,64,,,,10 hours,,,,,,,
ASUS,ASUS,ASUS,Windows 10 Home,3.75 pounds,14.4 x 9.1 x 0.8 inches,14.4 x 9.1 x 0.8 inches,,AMD,2,DDR4 SDRAM,,,Battery Powered,1 Lithium ion batteries required. (included),15.6 inches,1920 x 1080,AMD Radeon Vega 3,AMD,,802.11ac,,,https://www.amazon.com/ASUS/dp/B07Y5PXRJC/ref=sr_1_35?dchild=1&keywords=laptops&qid=1592921602&sr=8-35,PC,128 GB,1920 x 1080,,3.5 GHz,,,,,,,,
HP,HP X360 11 G3 2-in-1,HP X360 11 G3 2-in-1,Windows 10 Pro,4.6 pounds,11.8 x 8.11 x 0.78 inches,11.8 x 8.11 x 0.78 inches,Gray,Intel,4,DDR4 SDRAM,,,AC & Battery,,11.6 inches,1366x768 pixels,Intel UHD Graphics 600,Intel,,802.11a,,,https://www.amazon.com/HP-11-G3-11-6-inch-Touchscreen/dp/B083JRQSDD/ref=sr_1_36?dchild=1&keywords=laptops&qid=1592921602&sr=8-36,PC,128 GB,1366x768,,,11 hours,,,,,,,
Acer,AN515-54-5812,AN515-54-5812,Windows 10 Home,5.07 pounds,14.31 x 10.04 x 0.96 inches,14.31 x 10.04 x 0.96 inches,,Intel,4,DDR4 SDRAM,,No Optical Drive,,1 Lithium ion batteries required. (included),15.6 inches,,,NVIDIA,Dedicated,801.11ac,1,2,https://www.amazon.com/i5-9300H-GeForce-MaxxAudio-retroiluminado-AN515-54-5812/dp/B086KJBKDW/ref=sr_1_37?dchild=1&keywords=laptops&qid=1592921602&sr=8-37,,256,,,,,,,,,,,
HP,Dell Precision,6BW41UA-cr,Windows 10,7.1 ounces,12.76 x 8.9 x 0.78 inches,12.76 x 8.9 x 0.78 inches,Whisper Silver,Intel,2,DDR4 SDRAM,,DVD-ROM,Battery Powered,1 Lithium ion batteries required. (included),14 inches,1366 x 768 pixels,AMD Radeon Vega 3,Amd,Integrated,802.11b/g,1,2,https://www.amazon.com/HP-Laptop-Graphics-Bluetooth-Renewed/dp/B085J2BGTD/ref=sr_1_38?dchild=1&keywords=laptops&qid=1592921602&sr=8-38,PC,128,,,3.5 GHz,,,,,,,,
Acer,Acer-Spin11-64GB,Acer-Spin11-64GB,Windows 10,2.8 pounds,11.4 x 7.9 x 0.56 inches,11.4 x 7.9 x 0.56 inches,Grey,Intel,4,DDR3 SDRAM,,No Optical Drive,Battery Powered,1 Lithium ion batteries required. (included),11.6 inches,1920 x 1080 pixels,Intel HD Graphics 505,Intel,Integrated,Bluetooth,,,https://www.amazon.com/Acer-Performance-Multi-Touch-Quad-core-Bluetooth/dp/B084F4RLHF/ref=sr_1_39?dchild=1&keywords=laptops&qid=1592921602&sr=8-39,PC,64,1920x1080,2 MB,2.5 GHz,8 hours,,,,,,,
HP,HP 14 Laptop,HP 14 Laptop,Windows 10 Home,3.25 pounds,12.76 x 8.9 x 0.78 inches,12.76 x 8.9 x 0.78 inches,Silver,AMD,2,DDR4 SDRAM,,,AC & Battery,1 Lithium ion batteries required. (included),14 inches,HD Display,AMD Radeon Vega 3,AMD,,802.11ac,,,https://www.amazon.com/HP-Touchscreen-Laptop-Processor-Bluetooth/dp/B0871RN3V6/ref=sr_1_40?dchild=1&keywords=laptops&qid=1592921602&sr=8-40,PC,256 GB,1366x768,,,,,,,,,,
Lenovo,Lenovo - IdeaPad,Lenovo - IdeaPad,Windows 10,4.4 pounds,14.02 x 10.2 x 0.82 inches,14.02 x 10.2 x 0.82 inches,,Intel,2,DDR4 SDRAM,,No Optical Drive,Battery Powered,1 Lithium Polymer batteries required.,14 inches,1366 x 768,AMD Radeon R4,AMD,Dedicated,802.11ac,,2,https://www.amazon.com/Lenovo-IdeaPad-ComputerAMD-A6-9220e-Microsoft/dp/B081GMHQLR/ref=sr_1_41?dchild=1&keywords=laptops&qid=1592921602&sr=8-41,PC,64,1366 x 768,2 MB,1.6 GHz,,,,,,,,
Dell,D15,D15,Windows 10,4.8 pounds,14.96 x 10.09 x 0.89 inches,14.96 x 10.09 x 0.89 inches,Black,Intel,4,SDRAM,,,Battery Powered,1 Lithium ion batteries required. (included),15.6 inches,1366x768 lines_per_inch,Intel,Intel,Integrated,Bluetooth,,,https://www.amazon.com/2020-Newest-Dell-Inspiron-Laptop/dp/B088BLZ1WK/ref=sr_1_42?dchild=1&keywords=laptops&qid=1592921602&sr=8-42,PC,,,,1.8 GHz,,,,,,,,
